vertices,edges,algorithm,fringe,time_ms,steps
10,18,dijkstra,heap,0.028458333333342134,10
10,18,dijkstra,list,0.02170833333333307,10
10,18,prim,heap,0.03048600000000549,10
10,18,prim,list,0.027444666666663158,10
20,62,dijkstra,heap,0.0707223333333377,20
20,62,dijkstra,list,0.0688193333333309,20
20,62,prim,heap,0.07787499999999577,20
20,62,prim,list,0.07562500000000509,20
50,263,dijkstra,heap,0.309916666666669,50
50,263,dijkstra,list,0.2998609999999939,50
50,263,prim,heap,0.24491633333332632,50
50,263,prim,list,0.40366666666667256,50
100,1080,dijkstra,heap,0.6176803333333517,100
100,1080,dijkstra,list,1.5503193333333274,100
100,1080,prim,heap,0.8379030000000011,100
100,1080,prim,list,1.6863610000000067,100
200,4143,dijkstra,heap,2.0826946666666624,200
200,4143,dijkstra,list,6.815972333333346,200
200,4143,prim,heap,2.228499999999985,200
200,4143,prim,list,8.820430999999997,200
500,25327,dijkstra,heap,10.39266666666668,500
500,25327,dijkstra,list,49.36126399999998,500
500,25327,prim,heap,11.233916333333298,500
500,25327,prim,list,70.25549999999998,500
